state,climate_zone,activity_type,land_size_hectares,project_age_years,avg_rainfall_mm,forest_cover_pct,soil_organic_carbon,estimated_carbon_credits_tco2e
Himachal Pradesh,Subtropical,Afforestation,425.73,7,1600,27.1,Medium,2588.67
Chhattisgarh,Humid Subtropical,Reforestation,359.98,5,1400,41.1,Medium,2299.07
Gujarat,Arid,Afforestation,191.76,6,800,7.6,Low,231.9
Assam,Tropical Wet,Regenerative Agriculture,70.04,6,2700,34.2,Medium,283.16
Sikkim,Subtropical,Regenerative Agriculture,127.27,10,2700,47.3,High,606.31
Tamil Nadu,Tropical Dry,Regenerative Agriculture,84.36,9,1000,17.4,Medium,113.6
Bihar,Humid Subtropical,Afforestation,187.24,4,1100,7.7,Medium,639.07
Himachal Pradesh,Subtropical,Afforestation,73.67,5,1600,27.1,Medium,396.45
Jharkhand,Humid Subtropical,Regenerative Agriculture,113.94,9,1300,29.6,Medium,208.27
Odisha,Humid Subtropical,Reforestation,283.43,7,1500,33.2,Medium,2268.78
Punjab,Humid Subtropical,Reforestation,295.66,9,700,3.6,Medium,1281.12
Sikkim,Subtropical,Reforestation,325.72,9,2700,47.3,High,6096.99
Uttar Pradesh,Humid Subtropical,Afforestation,429.7,1,1000,6.1,Medium,963.5
Telangana,Tropical Dry,Regenerative Agriculture,133.42,1,950,24.0,Low,69.0
Assam,Tropical Wet,Reforestation,21.18,4,2700,34.2,Medium,268.19
Meghalaya,Tropical Wet,Reforestation,285.92,2,2800,76.3,High,3430.56
West Bengal,Humid Subtropical,Afforestation,410.39,9,1750,18.9,Medium,2938.61
Kerala,Tropical Wet,Afforestation,274.96,5,3000,52.3,High,3398.64
Nagaland,Tropical Wet,Afforestation,481.14,3,2000,73.9,High,3598.63
Manipur,Subtropical,Regenerative Agriculture,264.41,9,1500,74.3,Medium,617.33
Punjab,Humid Subtropical,Reforestation,350.49,3,700,3.6,Medium,914.88
Jharkhand,Humid Subtropical,Afforestation,44.74,8,1300,29.6,Medium,225.37
Uttar Pradesh,Humid Subtropical,Afforestation,278.94,5,1000,6.1,Medium,991.03
Andhra Pradesh,Tropical Dry,Afforestation,182.95,1,900,23.0,Low,256.65
Haryana,Humid Subtropical,Reforestation,248.12,8,600,3.6,Low,875.52
West Bengal,Humid Subtropical,Afforestation,150.02,9,1750,18.9,Medium,1049.48
Goa,Tropical Wet,Reforestation,158.96,4,2900,60.0,High,2550.51
Kerala,Tropical Wet,Afforestation,394.58,7,3000,52.3,High,5224.97
Manipur,Subtropical,Reforestation,246.42,4,1500,74.3,Medium,1665.04
Odisha,Humid Subtropical,Reforestation,377.39,9,1500,33.2,Medium,3245.59
Nagaland,Tropical Wet,Reforestation,58.62,9,2000,73.9,High,1027.08
Mizoram,Tropical Wet,Reforestation,286.25,9,2500,84.5,High,6272.62
Tripura,Tropical Wet,Regenerative Agriculture,183.62,2,2200,73.7,Medium,393.88
Jharkhand,Humid Subtropical,Regenerative Agriculture,84.22,8,1300,29.6,Medium,149.29
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,27.71,6,900,23.0,Low,22.6
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,131.96,4,1000,6.1,Medium,136.59
Himachal Pradesh,Subtropical,Reforestation,117.95,2,1600,27.1,Medium,643.11
Bihar,Humid Subtropical,Regenerative Agriculture,115.11,10,1100,7.7,Medium,206.4
Nagaland,Tropical Wet,Afforestation,267.62,2,2000,73.9,High,1762.38
Assam,Tropical Wet,Afforestation,67.36,9,2700,34.2,Medium,937.2
West Bengal,Humid Subtropical,Reforestation,255.7,9,1750,18.9,Medium,2453.97
Rajasthan,Arid,Afforestation,17.54,4,500,4.8,Very Low,14.49
Manipur,Subtropical,Afforestation,118.04,9,1500,74.3,Medium,816.19
Rajasthan,Arid,Reforestation,87.59,6,500,4.8,Very Low,97.78
Meghalaya,Tropical Wet,Regenerative Agriculture,29.87,9,2800,76.3,High,163.68
Haryana,Humid Subtropical,Regenerative Agriculture,81.32,9,600,3.6,Low,80.68
Karnataka,Tropical Dry,Reforestation,284.83,8,1300,20.1,Medium,1632.48
Tripura,Tropical Wet,Afforestation,411.0,4,2200,73.7,Medium,3172.74
Uttarakhand,Subtropical,Reforestation,39.07,2,1800,45.4,High,283.85
Meghalaya,Tropical Wet,Reforestation,248.59,2,2800,76.3,High,2986.36
Arunachal Pradesh,Subtropical,Reforestation,162.56,4,2800,79.3,High,2082.63
West Bengal,Humid Subtropical,Regenerative Agriculture,165.55,3,1750,18.9,Medium,269.78
Odisha,Humid Subtropical,Regenerative Agriculture,158.83,3,1500,33.2,Medium,217.15
Gujarat,Arid,Reforestation,179.59,6,800,7.6,Low,239.27
Haryana,Humid Subtropical,Afforestation,448.72,9,600,3.6,Low,1498.09
Arunachal Pradesh,Subtropical,Regenerative Agriculture,139.03,10,2800,79.3,High,715.79
Chhattisgarh,Humid Subtropical,Reforestation,264.99,5,1400,41.1,Medium,1599.33
Himachal Pradesh,Subtropical,Reforestation,332.53,6,1600,27.1,Medium,2583.0
Rajasthan,Arid,Reforestation,208.51,6,500,4.8,Very Low,242.34
Odisha,Humid Subtropical,Regenerative Agriculture,87.91,3,1500,33.2,Medium,123.96
Kerala,Tropical Wet,Reforestation,76.4,5,3000,52.3,High,1253.41
Sikkim,Subtropical,Reforestation,377.87,2,2700,47.3,High,4088.09
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,37.58,5,1000,6.1,Medium,40.71
Kerala,Tropical Wet,Regenerative Agriculture,156.93,7,3000,52.3,High,773.51
Chhattisgarh,Humid Subtropical,Afforestation,415.78,7,1400,41.1,Medium,2045.57
Mizoram,Tropical Wet,Reforestation,151.45,10,2500,84.5,High,3425.32
Sikkim,Subtropical,Afforestation,452.74,6,2700,47.3,High,4824.64
Manipur,Subtropical,Afforestation,256.53,6,1500,74.3,Medium,1464.72
Punjab,Humid Subtropical,Afforestation,178.94,3,700,3.6,Medium,421.47
Jharkhand,Humid Subtropical,Regenerative Agriculture,185.11,5,1300,29.6,Medium,271.83
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,149.37,1,1000,6.1,Medium,103.78
Punjab,Humid Subtropical,Afforestation,362.18,6,700,3.6,Medium,1091.64
Bihar,Humid Subtropical,Afforestation,179.16,10,1100,7.7,Medium,1026.04
Manipur,Subtropical,Reforestation,61.78,3,1500,74.3,Medium,373.63
Haryana,Humid Subtropical,Regenerative Agriculture,77.38,7,600,3.6,Low,63.4
Himachal Pradesh,Subtropical,Reforestation,118.03,6,1600,27.1,Medium,931.88
Himachal Pradesh,Subtropical,Afforestation,220.18,3,1600,27.1,Medium,1042.23
Meghalaya,Tropical Wet,Reforestation,173.57,10,2800,76.3,High,4195.91
Manipur,Subtropical,Afforestation,436.56,2,1500,74.3,Medium,1570.87
Uttarakhand,Subtropical,Regenerative Agriculture,39.04,1,1800,45.4,High,63.87
Tripura,Tropical Wet,Reforestation,212.23,5,2200,73.7,Medium,2641.85
Chhattisgarh,Humid Subtropical,Afforestation,342.66,10,1400,41.1,Medium,1940.77
Sikkim,Subtropical,Reforestation,320.21,9,2700,47.3,High,6285.48
West Bengal,Humid Subtropical,Afforestation,209.98,5,1750,18.9,Medium,1156.43
Uttarakhand,Subtropical,Afforestation,368.35,9,1800,45.4,High,3343.2
Odisha,Humid Subtropical,Afforestation,237.88,6,1500,33.2,Medium,1191.29
Manipur,Subtropical,Reforestation,319.75,3,1500,74.3,Medium,1998.57
Manipur,Subtropical,Reforestation,170.76,3,1500,74.3,Medium,1028.39
Jharkhand,Humid Subtropical,Reforestation,362.18,2,1300,29.6,Medium,1405.51
Maharashtra,Tropical Dry,Reforestation,199.52,9,1100,16.5,Medium,1104.63
Uttar Pradesh,Humid Subtropical,Afforestation,491.04,2,1000,6.1,Medium,1309.99
Goa,Tropical Wet,Afforestation,403.87,4,2900,60.0,High,4187.98
Bihar,Humid Subtropical,Reforestation,158.43,7,1100,7.7,Medium,808.19
Assam,Tropical Wet,Regenerative Agriculture,114.0,10,2700,34.2,Medium,591.06
Andhra Pradesh,Tropical Dry,Reforestation,269.75,1,900,23.0,Low,495.32
Karnataka,Tropical Dry,Regenerative Agriculture,242.33,8,1300,20.1,Medium,379.56
Maharashtra,Tropical Dry,Afforestation,296.02,5,1100,16.5,Medium,913.98
Uttarakhand,Subtropical,Afforestation,181.6,10,1800,45.4,High,1840.57
West Bengal,Humid Subtropical,Regenerative Agriculture,200.43,6,1750,18.9,Medium,399.22
Chhattisgarh,Humid Subtropical,Afforestation,136.53,3,1400,41.1,Medium,509.3
Tamil Nadu,Tropical Dry,Afforestation,275.41,10,1000,17.4,Medium,1089.8
Telangana,Tropical Dry,Reforestation,174.76,6,950,24.0,Low,586.21
Jharkhand,Humid Subtropical,Afforestation,115.31,10,1300,29.6,Medium,624.72
Telangana,Tropical Dry,Regenerative Agriculture,60.44,1,950,24.0,Low,30.45
Manipur,Subtropical,Reforestation,188.55,1,1500,74.3,Medium,908.09
Nagaland,Tropical Wet,Afforestation,139.39,6,2000,73.9,High,1331.18
Rajasthan,Arid,Afforestation,350.37,4,500,4.8,Very Low,295.18
Tripura,Tropical Wet,Reforestation,39.31,5,2200,73.7,Medium,497.54
Punjab,Humid Subtropical,Regenerative Agriculture,60.38,4,700,3.6,Medium,48.5
Chhattisgarh,Humid Subtropical,Afforestation,376.44,1,1400,41.1,Medium,1051.96
Bihar,Humid Subtropical,Reforestation,174.87,3,1100,7.7,Medium,643.01
Himachal Pradesh,Subtropical,Afforestation,318.72,2,1600,27.1,Medium,1259.26
Gujarat,Arid,Regenerative Agriculture,156.69,7,800,7.6,Low,63.77
Maharashtra,Tropical Dry,Afforestation,414.45,2,1100,16.5,Medium,969.43
Nagaland,Tropical Wet,Regenerative Agriculture,299.67,10,2000,73.9,High,1374.84
Meghalaya,Tropical Wet,Afforestation,238.25,1,2800,76.3,High,1818.8
Haryana,Humid Subtropical,Afforestation,123.69,6,600,3.6,Low,334.12
Gujarat,Arid,Reforestation,286.87,4,800,7.6,Low,338.26
Uttarakhand,Subtropical,Afforestation,433.57,10,1800,45.4,High,4569.04
Manipur,Subtropical,Afforestation,43.97,3,1500,74.3,Medium,193.37
Andhra Pradesh,Tropical Dry,Afforestation,122.15,3,900,23.0,Low,213.59
Punjab,Humid Subtropical,Regenerative Agriculture,279.1,7,700,3.6,Medium,294.79
Mizoram,Tropical Wet,Regenerative Agriculture,135.7,2,2500,84.5,High,413.75
Assam,Tropical Wet,Reforestation,324.7,4,2700,34.2,Medium,4369.18
Andhra Pradesh,Tropical Dry,Afforestation,340.65,7,900,23.0,Low,873.09
Bihar,Humid Subtropical,Reforestation,57.37,5,1100,7.7,Medium,251.15
West Bengal,Humid Subtropical,Regenerative Agriculture,292.4,6,1750,18.9,Medium,601.66
Tamil Nadu,Tropical Dry,Reforestation,75.14,7,1000,17.4,Medium,311.77
Telangana,Tropical Dry,Reforestation,190.24,1,950,24.0,Low,375.15
Gujarat,Arid,Reforestation,38.33,2,800,7.6,Low,36.14
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,252.26,6,900,23.0,Low,213.52
Uttar Pradesh,Humid Subtropical,Reforestation,365.43,8,1000,6.1,Medium,1923.1
Goa,Tropical Wet,Reforestation,239.53,8,2900,60.0,High,5141.37
Telangana,Tropical Dry,Regenerative Agriculture,20.34,8,950,24.0,Low,20.36
Punjab,Humid Subtropical,Reforestation,268.73,7,700,3.6,Medium,1040.62
Uttarakhand,Subtropical,Afforestation,488.33,8,1800,45.4,High,4350.45
Odisha,Humid Subtropical,Regenerative Agriculture,41.94,3,1500,33.2,Medium,54.84
Uttar Pradesh,Humid Subtropical,Afforestation,449.71,7,1000,6.1,Medium,1898.52
Madhya Pradesh,Humid Subtropical,Reforestation,64.26,7,1200,25.1,Medium,366.86
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,121.81,1,1200,25.1,Medium,102.91
Arunachal Pradesh,Subtropical,Regenerative Agriculture,67.18,2,2800,79.3,High,171.56
West Bengal,Humid Subtropical,Reforestation,118.4,10,1750,18.9,Medium,1192.54
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,295.66,9,1000,6.1,Medium,418.1
Maharashtra,Tropical Dry,Regenerative Agriculture,240.5,8,1100,16.5,Medium,321.53
Assam,Tropical Wet,Afforestation,158.21,4,2700,34.2,Medium,1522.54
Mizoram,Tropical Wet,Reforestation,326.47,2,2500,84.5,High,4050.43
Odisha,Humid Subtropical,Regenerative Agriculture,34.08,7,1500,33.2,Medium,63.82
Andhra Pradesh,Tropical Dry,Reforestation,324.46,5,900,23.0,Low,953.57
Gujarat,Arid,Regenerative Agriculture,5.93,7,800,7.6,Low,2.31
Sikkim,Subtropical,Afforestation,235.2,10,2700,47.3,High,3255.45
Rajasthan,Arid,Afforestation,291.4,3,500,4.8,Very Low,202.52
Telangana,Tropical Dry,Afforestation,432.48,7,950,24.0,Low,1135.88
West Bengal,Humid Subtropical,Afforestation,249.8,9,1750,18.9,Medium,1853.91
Telangana,Tropical Dry,Reforestation,337.72,7,950,24.0,Low,1181.24
Uttarakhand,Subtropical,Regenerative Agriculture,211.07,9,1800,45.4,High,684.54
Maharashtra,Tropical Dry,Afforestation,446.04,1,1100,16.5,Medium,909.89
Jharkhand,Humid Subtropical,Reforestation,349.8,6,1300,29.6,Medium,1920.69
Assam,Tropical Wet,Regenerative Agriculture,280.04,6,2700,34.2,Medium,1092.13
Meghalaya,Tropical Wet,Afforestation,209.21,6,2800,76.3,High,2644.77
Nagaland,Tropical Wet,Regenerative Agriculture,173.52,9,2000,73.9,High,720.02
Tamil Nadu,Tropical Dry,Regenerative Agriculture,268.73,1,1000,17.4,Medium,177.22
West Bengal,Humid Subtropical,Regenerative Agriculture,174.1,5,1750,18.9,Medium,333.56
Karnataka,Tropical Dry,Regenerative Agriculture,69.37,10,1300,20.1,Medium,122.55
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,178.74,4,1000,6.1,Medium,178.99
Rajasthan,Arid,Afforestation,84.5,1,500,4.8,Very Low,51.91
Kerala,Tropical Wet,Regenerative Agriculture,63.85,8,3000,52.3,High,337.5
Rajasthan,Arid,Regenerative Agriculture,90.98,8,500,4.8,Very Low,31.36
West Bengal,Humid Subtropical,Reforestation,317.54,7,1750,18.9,Medium,2699.73
Bihar,Humid Subtropical,Reforestation,212.48,7,1100,7.7,Medium,1157.23
Rajasthan,Arid,Reforestation,168.18,2,500,4.8,Very Low,126.24
Maharashtra,Tropical Dry,Regenerative Agriculture,186.46,9,1100,16.5,Medium,260.94
Uttar Pradesh,Humid Subtropical,Reforestation,312.82,5,1000,6.1,Medium,1185.5
Bihar,Humid Subtropical,Regenerative Agriculture,52.4,3,1100,7.7,Medium,54.15
Andhra Pradesh,Tropical Dry,Reforestation,97.97,1,900,23.0,Low,181.71
Maharashtra,Tropical Dry,Regenerative Agriculture,56.18,1,1100,16.5,Medium,39.9
Andhra Pradesh,Tropical Dry,Reforestation,165.96,7,900,23.0,Low,551.88
Chhattisgarh,Humid Subtropical,Afforestation,429.68,8,1400,41.1,Medium,2298.04
Punjab,Humid Subtropical,Reforestation,155.87,6,700,3.6,Medium,572.46
Meghalaya,Tropical Wet,Regenerative Agriculture,106.8,1,2800,76.3,High,289.1
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,91.66,8,1200,25.1,Medium,148.55
Sikkim,Subtropical,Reforestation,276.22,6,2700,47.3,High,4377.9
Haryana,Humid Subtropical,Reforestation,253.55,5,600,3.6,Low,703.92
Chhattisgarh,Humid Subtropical,Afforestation,147.99,10,1400,41.1,Medium,926.22
Rajasthan,Arid,Reforestation,290.68,9,500,4.8,Very Low,391.86
Manipur,Subtropical,Reforestation,122.08,8,1500,74.3,Medium,1051.89
Odisha,Humid Subtropical,Regenerative Agriculture,255.61,10,1500,33.2,Medium,608.12
Telangana,Tropical Dry,Reforestation,372.52,9,950,24.0,Low,1463.73
Himachal Pradesh,Subtropical,Regenerative Agriculture,49.39,9,1600,27.1,Medium,125.78
Maharashtra,Tropical Dry,Reforestation,83.22,8,1100,16.5,Medium,432.12
Mizoram,Tropical Wet,Regenerative Agriculture,228.33,1,2500,84.5,High,575.0
Goa,Tropical Wet,Regenerative Agriculture,265.95,4,2900,60.0,High,1049.79
Telangana,Tropical Dry,Regenerative Agriculture,92.05,7,950,24.0,Low,84.96
Goa,Tropical Wet,Reforestation,376.99,5,2900,60.0,High,6198.06
Jharkhand,Humid Subtropical,Afforestation,413.02,5,1300,29.6,Medium,1665.12
Nagaland,Tropical Wet,Afforestation,251.48,10,2000,73.9,High,3405.51
Gujarat,Arid,Regenerative Agriculture,132.98,5,800,7.6,Low,41.91
Nagaland,Tropical Wet,Afforestation,32.17,7,2000,73.9,High,353.79
Assam,Tropical Wet,Regenerative Agriculture,279.81,3,2700,34.2,Medium,874.4
Meghalaya,Tropical Wet,Reforestation,230.82,4,2800,76.3,High,3657.94
Sikkim,Subtropical,Regenerative Agriculture,79.91,5,2700,47.3,High,274.82
Nagaland,Tropical Wet,Afforestation,120.87,2,2000,73.9,High,803.54
Kerala,Tropical Wet,Regenerative Agriculture,199.32,7,3000,52.3,High,965.25
Bihar,Humid Subtropical,Reforestation,320.52,7,1100,7.7,Medium,1607.43
Chhattisgarh,Humid Subtropical,Afforestation,127.63,2,1400,41.1,Medium,403.77
Maharashtra,Tropical Dry,Afforestation,310.85,1,1100,16.5,Medium,664.78
Jharkhand,Humid Subtropical,Regenerative Agriculture,208.18,10,1300,29.6,Medium,422.16
Nagaland,Tropical Wet,Regenerative Agriculture,108.49,8,2000,73.9,High,435.99
Himachal Pradesh,Subtropical,Afforestation,170.81,10,1600,27.1,Medium,1322.93
Uttarakhand,Subtropical,Reforestation,366.46,3,1800,45.4,High,3022.44
Gujarat,Arid,Reforestation,161.68,6,800,7.6,Low,224.28
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,9.94,5,1200,25.1,Medium,13.13
Bihar,Humid Subtropical,Reforestation,278.29,9,1100,7.7,Medium,1693.68
Chhattisgarh,Humid Subtropical,Reforestation,77.07,2,1400,41.1,Medium,358.01
Arunachal Pradesh,Subtropical,Afforestation,464.77,7,2800,79.3,High,5311.73
Manipur,Subtropical,Regenerative Agriculture,281.85,3,1500,74.3,Medium,409.4
Sikkim,Subtropical,Regenerative Agriculture,109.63,4,2700,47.3,High,356.76
Telangana,Tropical Dry,Afforestation,224.71,7,950,24.0,Low,598.17
Andhra Pradesh,Tropical Dry,Reforestation,55.76,4,900,23.0,Low,150.79
Gujarat,Arid,Afforestation,44.35,4,800,7.6,Low,43.25
Maharashtra,Tropical Dry,Regenerative Agriculture,13.6,4,1100,16.5,Medium,12.92
Rajasthan,Arid,Reforestation,229.46,6,500,4.8,Very Low,254.11
Maharashtra,Tropical Dry,Regenerative Agriculture,220.79,9,1100,16.5,Medium,328.19
Tripura,Tropical Wet,Regenerative Agriculture,116.99,9,2200,73.7,Medium,467.11
Uttarakhand,Subtropical,Regenerative Agriculture,31.96,6,1800,45.4,High,89.5
Tripura,Tropical Wet,Reforestation,332.42,7,2200,73.7,Medium,4899.53
Mizoram,Tropical Wet,Reforestation,223.01,10,2500,84.5,High,5122.13
Punjab,Humid Subtropical,Reforestation,111.7,2,700,3.6,Medium,266.21
Himachal Pradesh,Subtropical,Reforestation,212.93,5,1600,27.1,Medium,1495.92
Odisha,Humid Subtropical,Regenerative Agriculture,170.02,10,1500,33.2,Medium,395.15
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,293.61,4,900,23.0,Low,194.5
Manipur,Subtropical,Afforestation,430.02,8,1500,74.3,Medium,2664.23
Nagaland,Tropical Wet,Regenerative Agriculture,284.29,4,2000,73.9,High,856.84
Rajasthan,Arid,Regenerative Agriculture,235.16,9,500,4.8,Very Low,82.83
Haryana,Humid Subtropical,Regenerative Agriculture,140.6,2,600,3.6,Low,77.58
Himachal Pradesh,Subtropical,Afforestation,160.54,7,1600,27.1,Medium,976.06
Jharkhand,Humid Subtropical,Reforestation,80.81,9,1300,29.6,Medium,581.47
Gujarat,Arid,Reforestation,146.11,9,800,7.6,Low,251.53
Jharkhand,Humid Subtropical,Reforestation,76.46,2,1300,29.6,Medium,298.12
Madhya Pradesh,Humid Subtropical,Afforestation,474.64,7,1200,25.1,Medium,2051.16
Punjab,Humid Subtropical,Afforestation,123.42,2,700,3.6,Medium,258.71
Bihar,Humid Subtropical,Regenerative Agriculture,16.62,1,1100,7.7,Medium,13.24
Manipur,Subtropical,Reforestation,345.31,10,1500,74.3,Medium,3471.17
Tamil Nadu,Tropical Dry,Afforestation,287.45,6,1000,17.4,Medium,852.55
Goa,Tropical Wet,Reforestation,120.97,8,2900,60.0,High,2554.7
Gujarat,Arid,Regenerative Agriculture,19.92,1,800,7.6,Low,4.46
Sikkim,Subtropical,Afforestation,52.92,10,2700,47.3,High,756.98
Himachal Pradesh,Subtropical,Afforestation,50.93,10,1600,27.1,Medium,380.6
Tripura,Tropical Wet,Afforestation,436.61,5,2200,73.7,Medium,3751.63
Himachal Pradesh,Subtropical,Reforestation,227.81,10,1600,27.1,Medium,2418.15
Madhya Pradesh,Humid Subtropical,Afforestation,382.48,4,1200,25.1,Medium,1357.83
Assam,Tropical Wet,Reforestation,172.26,2,2700,34.2,Medium,1902.21
Mizoram,Tropical Wet,Reforestation,28.35,3,2500,84.5,High,371.35
Bihar,Humid Subtropical,Afforestation,178.96,4,1100,7.7,Medium,649.13
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,92.7,7,1000,6.1,Medium,118.13
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,238.2,4,1000,6.1,Medium,229.13
Karnataka,Tropical Dry,Reforestation,167.84,4,1300,20.1,Medium,743.42
Bihar,Humid Subtropical,Reforestation,28.45,2,1100,7.7,Medium,99.85
Rajasthan,Arid,Reforestation,186.14,7,500,4.8,Very Low,232.73
Madhya Pradesh,Humid Subtropical,Afforestation,322.57,5,1200,25.1,Medium,1167.09
Goa,Tropical Wet,Regenerative Agriculture,126.3,2,2900,60.0,High,402.67
Uttarakhand,Subtropical,Reforestation,24.06,8,1800,45.4,High,313.8
Kerala,Tropical Wet,Regenerative Agriculture,169.08,4,3000,52.3,High,644.72
Telangana,Tropical Dry,Regenerative Agriculture,143.93,1,950,24.0,Low,80.3
Himachal Pradesh,Subtropical,Afforestation,385.03,2,1600,27.1,Medium,1550.73
Manipur,Subtropical,Reforestation,125.82,2,1500,74.3,Medium,731.02
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,254.83,3,900,23.0,Low,162.58
Goa,Tropical Wet,Afforestation,344.44,6,2900,60.0,High,4605.18
Uttar Pradesh,Humid Subtropical,Reforestation,70.21,10,1000,6.1,Medium,392.67
Rajasthan,Arid,Afforestation,329.6,5,500,4.8,Very Low,303.92
Bihar,Humid Subtropical,Afforestation,306.94,4,1100,7.7,Medium,1071.83
Uttarakhand,Subtropical,Reforestation,85.63,9,1800,45.4,High,1166.52
Goa,Tropical Wet,Afforestation,238.02,9,2900,60.0,High,3880.53
Uttarakhand,Subtropical,Regenerative Agriculture,191.26,1,1800,45.4,High,310.34
Manipur,Subtropical,Reforestation,128.93,9,1500,74.3,Medium,1266.83
Tripura,Tropical Wet,Afforestation,44.0,5,2200,73.7,Medium,390.16
Arunachal Pradesh,Subtropical,Reforestation,323.08,10,2800,79.3,High,6480.02
Assam,Tropical Wet,Afforestation,153.74,4,2700,34.2,Medium,1420.62
Odisha,Humid Subtropical,Afforestation,160.86,4,1500,33.2,Medium,706.07
Punjab,Humid Subtropical,Afforestation,143.26,5,700,3.6,Medium,428.33
Assam,Tropical Wet,Afforestation,320.52,7,2700,34.2,Medium,3960.48
Gujarat,Arid,Afforestation,177.94,1,800,7.6,Low,123.23
Karnataka,Tropical Dry,Reforestation,368.58,2,1300,20.1,Medium,1334.89
Punjab,Humid Subtropical,Regenerative Agriculture,93.14,1,700,3.6,Medium,52.29
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,100.2,3,1200,25.1,Medium,111.7
Bihar,Humid Subtropical,Reforestation,248.75,9,1100,7.7,Medium,1495.45
Maharashtra,Tropical Dry,Regenerative Agriculture,146.61,7,1100,16.5,Medium,184.78
Bihar,Humid Subtropical,Reforestation,40.34,4,1100,7.7,Medium,165.61
Gujarat,Arid,Regenerative Agriculture,244.68,10,800,7.6,Low,109.52
Goa,Tropical Wet,Afforestation,431.18,8,2900,60.0,High,6304.28
Uttarakhand,Subtropical,Regenerative Agriculture,112.58,3,1800,45.4,High,221.69
Uttar Pradesh,Humid Subtropical,Afforestation,135.8,7,1000,6.1,Medium,569.32
Assam,Tropical Wet,Regenerative Agriculture,152.49,6,2700,34.2,Medium,592.67
Rajasthan,Arid,Afforestation,149.43,4,500,4.8,Very Low,122.54
Himachal Pradesh,Subtropical,Afforestation,400.29,3,1600,27.1,Medium,1798.03
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,146.15,9,1400,41.1,Medium,282.85
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,250.56,3,1000,6.1,Medium,231.73
Gujarat,Arid,Regenerative Agriculture,193.14,6,800,7.6,Low,74.65
Goa,Tropical Wet,Regenerative Agriculture,85.18,6,2900,60.0,High,369.84
Tamil Nadu,Tropical Dry,Afforestation,488.75,8,1000,17.4,Medium,1664.68
West Bengal,Humid Subtropical,Reforestation,359.05,7,1750,18.9,Medium,2929.15
Jharkhand,Humid Subtropical,Reforestation,311.62,3,1300,29.6,Medium,1445.0
Madhya Pradesh,Humid Subtropical,Afforestation,20.26,8,1200,25.1,Medium,92.67
Uttar Pradesh,Humid Subtropical,Reforestation,256.83,1,1000,6.1,Medium,700.09
Tripura,Tropical Wet,Reforestation,133.29,6,2200,73.7,Medium,1879.31
Arunachal Pradesh,Subtropical,Regenerative Agriculture,290.95,10,2800,79.3,High,1472.44
Jharkhand,Humid Subtropical,Reforestation,194.69,1,1300,29.6,Medium,647.13
Haryana,Humid Subtropical,Afforestation,62.11,4,600,3.6,Low,136.85
Rajasthan,Arid,Regenerative Agriculture,138.37,9,500,4.8,Very Low,48.24
Himachal Pradesh,Subtropical,Afforestation,226.6,4,1600,27.1,Medium,1068.48
Chhattisgarh,Humid Subtropical,Reforestation,190.32,9,1400,41.1,Medium,1599.31
Arunachal Pradesh,Subtropical,Afforestation,84.2,10,2800,79.3,High,1226.99
Jharkhand,Humid Subtropical,Regenerative Agriculture,159.95,2,1300,29.6,Medium,158.11
Kerala,Tropical Wet,Afforestation,341.05,4,3000,52.3,High,3542.52
Sikkim,Subtropical,Regenerative Agriculture,210.97,4,2700,47.3,High,722.28
Karnataka,Tropical Dry,Afforestation,292.72,8,1300,20.1,Medium,1387.33
Manipur,Subtropical,Reforestation,219.04,9,1500,74.3,Medium,2039.03
Uttarakhand,Subtropical,Regenerative Agriculture,49.68,4,1800,45.4,High,107.9
Mizoram,Tropical Wet,Afforestation,266.6,10,2500,84.5,High,4327.78
Bihar,Humid Subtropical,Regenerative Agriculture,238.47,4,1100,7.7,Medium,232.63
Arunachal Pradesh,Subtropical,Reforestation,121.67,7,2800,79.3,High,1994.9
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,101.08,6,1400,41.1,Medium,171.47
Nagaland,Tropical Wet,Reforestation,195.76,2,2000,73.9,High,1931.71
Jharkhand,Humid Subtropical,Reforestation,200.29,5,1300,29.6,Medium,1056.57
Telangana,Tropical Dry,Reforestation,252.9,7,950,24.0,Low,863.61
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,185.06,7,1200,25.1,Medium,287.54
Madhya Pradesh,Humid Subtropical,Reforestation,63.93,7,1200,25.1,Medium,360.75
